family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
datetime-cmp	proofs::eq_timetz_cmp_contract	proofs::eq_timetz_cmp_contract	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_eq	proofs::eq_timetz_eq	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_ge	proofs::eq_timetz_ge	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_gt	proofs::eq_timetz_gt	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_larger	proofs::eq_timetz_larger	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_le	proofs::eq_timetz_le	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_lt	proofs::eq_timetz_lt	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_ne	proofs::eq_timetz_ne	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_smaller	proofs::eq_timetz_smaller	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_in_range_interval_interval_t0	wave7_proofs::eq_in_range_interval_interval_t0	0	21	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_in_range_timestamp_interval_m0d0	wave7_proofs::eq_in_range_timestamp_interval_m0d0	0	14	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_in_range_timestamp_interval_noend	wave7_proofs::eq_in_range_timestamp_interval_noend	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_in_range_timestamptz_interval_m0d0	wave7_proofs::eq_in_range_timestamptz_interval_m0d0	0	17	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_in_range_timestamptz_interval_noend	wave7_proofs::eq_in_range_timestamptz_interval_noend	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_overlaps_timestamp	wave7_proofs::eq_overlaps_timestamp	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_finite	wave7_proofs::eq_timestamp_finite	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_hash	wave7_proofs::eq_timestamp_hash	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_hash_extended	wave7_proofs::eq_timestamp_hash_extended	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_izone_err	wave7_proofs::eq_timestamp_izone_err	0	16	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_izone_value	wave7_proofs::eq_timestamp_izone_value	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_scale_planes	wave7_proofs::eq_timestamp_scale_planes	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_timestamptz	wave7_proofs::eq_timestamp_timestamptz	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamp_zone_fixed	wave7_proofs::eq_timestamp_zone_fixed	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamptz_izone_err	wave7_proofs::eq_timestamptz_izone_err	0	14	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamptz_izone_value	wave7_proofs::eq_timestamptz_izone_value	0	33	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamptz_timestamp	wave7_proofs::eq_timestamptz_timestamp	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	wave7_proofs::eq_timestamptz_zone_fixed	wave7_proofs::eq_timestamptz_zone_fixed	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
