family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
uuid	wave5::eq_uuid_recv_core_ok17_0	unmeasured	unmeasured	unmeasured-green	321	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok17_0_.log
uuid	wave5::eq_uuid_recv_core_d19	unmeasured	unmeasured	unmeasured-green	552	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d19_.log
uuid	wave5::eq_uuid_recv_core_ok17_1	unmeasured	unmeasured	unmeasured-green	321	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok17_1_.log
uuid	wave5::eq_uuid_recv_core_ok18_0	unmeasured	unmeasured	unmeasured-green	351	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok18_0_.log
uuid	wave5::eq_uuid_recv_core_ok18_1	unmeasured	unmeasured	unmeasured-green	351	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok18_1_.log
vector-io	proofs::eq_i2vin_len0	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	vector-io--proofs__eq_i2vin_len0_.log
vector-io	proofs::control_ovout_value_skew	unmeasured	unmeasured	unmeasured-failed	100	600	VERIFICATION:- FAILED	vector-io--proofs__control_ovout_value_skew_.log
uuid	wave5::eq_uuid_recv_core_d9	unmeasured	unmeasured	unmeasured-green	441	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_d9_.log
uuid	wave5::eq_uuid_recv_core_ok18_2	unmeasured	unmeasured	unmeasured-green	351	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok18_2_.log
vector-io	proofs::control_ovin_shifted_input	unmeasured	unmeasured	unmeasured-failed	180	600	VERIFICATION:- FAILED	vector-io--proofs__control_ovin_shifted_input_.log
vector-io	proofs::eq_i2vout_n0	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	vector-io--proofs__eq_i2vout_n0_.log
vector-io	proofs::cover_ovin_both_arms	unmeasured	unmeasured	unmeasured-failed	190	600	VERIFICATION:- FAILED	vector-io--proofs__cover_ovin_both_arms_.log
uuid	wave5::eq_uuid_recv_core_ok19_0	unmeasured	unmeasured	unmeasured-green	381	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok19_0_.log
uuid	wave5::eq_uuid_recv_core_ok19_1	unmeasured	unmeasured	unmeasured-green	381	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok19_1_.log
uuid	wave5::eq_uuid_recv_core_ok19_2	unmeasured	unmeasured	unmeasured-green	381	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok19_2_.log
uuid	wave5::eq_uuid_recv_core_ok19_3	unmeasured	unmeasured	unmeasured-green	381	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok19_3_.log
uuid	wave5::eq_uuid_recv_core_ok20_2	unmeasured	unmeasured	unmeasured-rss-kill	371	600	NO-VERDICT	uuid--wave5__eq_uuid_recv_core_ok20_2_.log
vector-io	proofs::eq_ovin_len0	unmeasured	unmeasured	unmeasured-failed	50	600	VERIFICATION:- FAILED	vector-io--proofs__eq_ovin_len0_.log
uuid	wave5::eq_uuid_recv_core_ok20_0	unmeasured	unmeasured	unmeasured-green	421	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok20_0_.log
uuid	wave5::eq_uuid_recv_core_ok20_1	unmeasured	unmeasured	unmeasured-green	421	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok20_1_.log
vector-io	proofs::eq_i2vout_n2_band100	unmeasured	unmeasured	unmeasured-rss-kill	100	600	NO-VERDICT	vector-io--proofs__eq_i2vout_n2_band100_.log
uuid	wave5::eq_uuid_recv_core_ok20_3	unmeasured	unmeasured	unmeasured-green	421	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok20_3_.log
vector-io	proofs::eq_i2vout_n2	unmeasured	unmeasured	unmeasured-rss-kill	171	600	NO-VERDICT	vector-io--proofs__eq_i2vout_n2_.log
uuid	wave5::eq_uuid_recv_core_ok20_4	unmeasured	unmeasured	unmeasured-green	422	600	VERIFICATION:- SUCCESSFUL	uuid--wave5__eq_uuid_recv_core_ok20_4_.log
vector-io	proofs::eq_ovout_n0	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	vector-io--proofs__eq_ovout_n0_.log
