family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
datetime-b	rem::eq_hashdate_extended	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_hashdate_extended_.log
datetime-b	rem::eq_in_range_date_interval_noend	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_in_range_date_interval_noend_.log
datetime-b	rem::eq_in_range_time_interval	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_in_range_time_interval_.log
datetime-b	rem::eq_interval_finite	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_finite_.log
datetime-b	rem::eq_interval_hash_ext_m0d0	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_hash_ext_m0d0_.log
datetime-b	rem::eq_interval_hash_m0d0	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_hash_m0d0_.log
datetime-b	rem::eq_interval_time_err_plane	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_time_err_plane_.log
datetime-b	rem::eq_in_range_date_interval_m0d0	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_in_range_date_interval_m0d0_.log
datetime-b	rem::eq_in_range_timetz_interval	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_in_range_timetz_interval_.log
datetime-b	rem::eq_interval_scale_typmod_neg	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_scale_typmod_neg_.log
datetime-b	rem::eq_interval_hash_band	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_hash_band_.log
datetime-b	rem::eq_overlaps_time	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_overlaps_time_.log
datetime-b	rem::eq_time_hash_extended	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_time_hash_extended_.log
datetime-b	rem::eq_time_interval	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_time_interval_.log
datetime-b	rem::eq_time_hash	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_time_hash_.log
datetime-b	rem::eq_datetime_timestamp	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_datetime_timestamp_.log
datetime-b	rem::control_date_send_skew	unmeasured	unmeasured	unmeasured-failed	100	600	VERIFICATION:- FAILED	datetime-b--rem__control_date_send_skew_.log
datetime-b	rem::eq_time_mi_time	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_time_mi_time_.log
datetime-b	rem::eq_timetypmodin_check	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetypmodin_check_.log
datetime-b	rem::eq_date_send	unmeasured	unmeasured	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_date_send_.log
datetime-b	rem::eq_timetypmodout_neg	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetypmodout_neg_.log
datetime-b	rem::eq_timetypmodout_d1	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetypmodout_d1_.log
datetime-b	rem::eq_timetypmodout_d2	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetypmodout_d2_.log
datetime-b	rem::eq_timetz_hash	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetz_hash_.log
datetime-b	rem::eq_timetypmodout_d3	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetypmodout_d3_.log
datetime-b	rem::eq_date_recv	unmeasured	unmeasured	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_date_recv_.log
