Found 1244 mutants to test
ok       Unmutated baseline in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1397:17: replace && with || in is_utf16_surrogate_second in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1397:5: replace is_utf16_surrogate_second -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1397:7: replace >= with < in is_utf16_surrogate_second in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1397:22: replace <= with > in is_utf16_surrogate_second in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:39: replace + with - in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:39: replace + with * in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:29: replace + with - in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:29: replace + with * in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:22: replace << with >> in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:13: replace & with | in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:13: replace & with ^ in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:49: replace & with | in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1401:49: replace & with ^ in surrogate_pair_to_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1411:37: replace | with ^ in utf8_to_unicode in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1413:70: replace | with ^ in utf8_to_unicode in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1413:38: replace | with ^ in utf8_to_unicode in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1418:13: replace | with ^ in utf8_to_unicode in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1417:13: replace | with ^ in utf8_to_unicode in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1416:13: replace | with ^ in utf8_to_unicode in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1430:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1431:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1433:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1434:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1435:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1437:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1438:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1439:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1440:30: replace | with ^ in unicode_to_utf8 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1445:5: replace unicode_utf8len -> i32 with 0 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1445:5: replace unicode_utf8len -> i32 with 1 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1445:5: replace unicode_utf8len -> i32 with -1 in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1445:10: replace <= with > in unicode_utf8len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1447:17: replace <= with > in unicode_utf8len in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1449:17: replace <= with > in unicode_utf8len in 1s build + 6s test
1244 mutants tested in 68m: 158 missed, 1058 caught, 2 unviable, 26 timeouts
