file	sloc	kani	fuzz	regress	any
crates/backend/access/brin/brin_xlog/src/lib.rs	154	0	0	0	0
crates/backend/access/common/bufmask/src/lib.rs	46	0	0	0	0
crates/backend/access/common/detoast/src/lib.rs	256	0	0	201	201
crates/backend/access/common/detoast/src/tests.rs	0	0	0	0	0
crates/backend/access/common/detoast_seams/src/lib.rs	15	0	0	0	0
crates/backend/access/common/heaptuple/src/fill.rs	110	0	0	105	105
crates/backend/access/common/heaptuple/src/form.rs	369	0	0	224	224
crates/backend/access/common/heaptuple/src/lib.rs	0	0	0	0	0
crates/backend/access/common/heaptuple/src/plan.rs	41	0	0	40	40
crates/backend/access/common/heaptuple/src/tuple.rs	90	0	0	81	81
crates/backend/access/common/printtup/src/debugtup.rs	62	0	0	0	0
crates/backend/access/common/printtup/src/lib.rs	192	0	0	164	164
crates/backend/access/common/printtup/src/printsimple.rs	58	0	0	0	0
crates/backend/access/common/printtup/src/tests.rs	0	0	0	0	0
crates/backend/access/common/relation/src/lib.rs	70	0	0	63	63
crates/backend/access/common/relation/src/tests.rs	0	0	0	0	0
crates/backend/access/common/relation_seams/src/lib.rs	25	0	0	0	0
crates/backend/access/common/reloptions/src/lib.rs	747	0	0	530	530
crates/backend/access/common/reloptions/src/local.rs	83	0	0	67	67
crates/backend/access/common/reloptions/src/tests.rs	0	0	0	0	0
crates/backend/access/common/syncscan/src/lib.rs	80	0	0	23	23
crates/backend/access/common/syncscan/src/tests.rs	0	0	0	0	0
crates/backend/access/common/syncscan_seams/src/lib.rs	10	0	0	0	0
crates/backend/access/common/tidstore/bench/rig/src/main.rs	79	0	0	0	0
crates/backend/access/common/tidstore/src/lib.rs	161	0	0	92	92
crates/backend/access/common/tidstore/src/tests.rs	0	0	0	0	0
crates/backend/access/common/toast_internals_seams/src/lib.rs	9	0	0	0	0
crates/backend/access/common/toastdesc/src/lib.rs	72	0	0	63	63
crates/backend/access/common/toastdesc/src/tests.rs	0	0	0	0	0
crates/backend/access/common/tupdesc/src/lib.rs	548	0	0	348	348
crates/backend/access/common/tupdesc/src/tests.rs	0	0	0	0	0
crates/backend/access/gin/gin/src/btree.rs	493	0	0	326	326
crates/backend/access/gin/gin/src/bulk.rs	180	0	0	165	165
crates/backend/access/gin/gin/src/datapage.rs	846	0	0	707	707
