family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
oracle-compat	proofs::eq_dotrim1_window	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	oracle-compat--proofs__eq_dotrim1_window_.log
oracle-compat	proofs::spot_translate_utf8	unmeasured	unmeasured	unmeasured-green	100	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__spot_translate_utf8_.log
oracle-compat	proofs::eq_dotrim_window_latin1	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	oracle-compat--proofs__eq_dotrim_window_latin1_.log
oracle-compat	proofs::eq_dotrim_window_utf8	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	oracle-compat--proofs__eq_dotrim_window_utf8_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d1	unmeasured	unmeasured	unmeasured-green	231	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d1_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d0	unmeasured	unmeasured	unmeasured-green	241	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d0_.log
oracle-compat	proofs::spot_text_reverse_utf8	unmeasured	unmeasured	unmeasured-rss-kill	251	600	NO-VERDICT	oracle-compat--proofs__spot_text_reverse_utf8_.log
scalar-misc	wave5::eq_oidrecv_core_len3	unmeasured	unmeasured	unmeasured-failed	20	600	NO-VERDICT	scalar-misc--wave5__eq_oidrecv_core_len3_.log
scalar-misc	wave5::eq_oidrecv_core_len8	unmeasured	unmeasured	unmeasured-failed	10	600	NO-VERDICT	scalar-misc--wave5__eq_oidrecv_core_len8_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d10	unmeasured	unmeasured	unmeasured-green	261	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d10_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d11	unmeasured	unmeasured	unmeasured-green	251	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d11_.log
strings-scalar	proofs::control_toast_typlen_skew	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED	strings-scalar--proofs__control_toast_typlen_skew_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d12	unmeasured	unmeasured	unmeasured-green	261	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d12_.log
strings-scalar	proofs::control_btvarstrequalimage_det_skew	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	strings-scalar--proofs__control_btvarstrequalimage_det_skew_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d3	unmeasured	unmeasured	unmeasured-green	220	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d3_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d2	unmeasured	unmeasured	unmeasured-green	230	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d2_.log
strings-scalar	proofs::cover_byteain_regimes	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	strings-scalar--proofs__cover_byteain_regimes_.log
strings-scalar	proofs::cover_toast_regimes	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	strings-scalar--proofs__cover_toast_regimes_.log
strings-scalar	proofs::eq_btvarstrequalimage	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	strings-scalar--proofs__eq_btvarstrequalimage_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d4	unmeasured	unmeasured	unmeasured-green	221	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d4_.log
