family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
float-arith	proofs::spots_dsqrt	unmeasured	unmeasured	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__spots_dsqrt_.log
float-arith	proofs::eq_in_range_float8_float8	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_in_range_float8_float8_.log
float-arith	proofs::eq_width_bucket_reject	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_width_bucket_reject_.log
float-arith	proofs::eq_float8send	unmeasured	unmeasured	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	float-arith--proofs__eq_float8send_.log
geo-cmp	ext2::proofs_ext2::eq_box_diagonal_img	unmeasured	unmeasured	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_diagonal_img_.log
float-agg	proofs::grid_regr_intercept	unmeasured	unmeasured	unmeasured-green	171	600	VERIFICATION:- SUCCESSFUL	float-agg--proofs__grid_regr_intercept_.log
geo-cmp	ext2::proofs_ext2::eq_box_circle_grid	unmeasured	unmeasured	unmeasured-green	160	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_circle_grid_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c6	unmeasured	unmeasured	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c6_.log
geo-cmp	ext2::proofs_ext2::control_box_add_vs_c_box_sub	unmeasured	unmeasured	unmeasured-failed	191	600	VERIFICATION:- FAILED	geo-cmp--ext2__proofs_ext2__control_box_add_vs_c_box_sub_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c7	unmeasured	unmeasured	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c7_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c5	unmeasured	unmeasured	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c5_.log
geo-cmp	ext2::proofs_ext2::eq_box_intersect_img	unmeasured	unmeasured	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_intersect_img_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c0	unmeasured	unmeasured	unmeasured-green	251	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c0_.log
geo-cmp	ext2::proofs_ext2::eq_box_add_img	unmeasured	unmeasured	unmeasured-green	311	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_add_img_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c6	unmeasured	unmeasured	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c6_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c5	unmeasured	unmeasured	unmeasured-green	121	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c5_.log
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c1	unmeasured	unmeasured	unmeasured-green	301	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_div_p2c1_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c7	unmeasured	unmeasured	unmeasured-green	121	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c7_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell0	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell0_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c0	unmeasured	unmeasured	unmeasured-green	261	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c0_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell1	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell1_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell2	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell2_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell3	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell3_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell4	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell4_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell5	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell5_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c1	unmeasured	unmeasured	unmeasured-green	270	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_box_mul_p2c1_.log
geo-cmp	ext2::proofs_ext2::eq_cr_circle_img	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_cr_circle_img_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell7	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell7_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell6	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell6_.log
geo-cmp	ext2::proofs_ext2::eq_construct_point_img	unmeasured	unmeasured	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_construct_point_img_.log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell8	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_inter_sb_cell8_.log
geo-cmp	ext2::proofs_ext2::eq_boxes_bound_box_img	unmeasured	unmeasured	unmeasured-green	100	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_boxes_bound_box_img_.log
geo-cmp	ext2::proofs_ext2::eq_line_horizontal	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_line_horizontal_.log
