family	harness	outcome	wall_s	timeout_s	verdict	job
datetime-b	rem::eq_time_hash_extended	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_time_interval	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_time_hash	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_datetime_timestamp	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::control_date_send_skew	unmeasured-failed	100	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_time_mi_time	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetypmodin_check	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_date_send	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetypmodout_neg	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetypmodout_d1	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetypmodout_d2	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_hash	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetypmodout_d3	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_date_recv	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_izone_cells	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_izone_err_planes	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_time	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetztypmodin_check	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_hash_extended	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetztypmodout_neg	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetztypmodout_d1	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::spot_interval_time	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::spot_interval_scale	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::spot_typmodout	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_time_recv_typmod_neg	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_time_send	unmeasured-green	190	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_interval_recv_typmod_neg	unmeasured-green	341	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_recv_typmod_neg	unmeasured-green	241	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_overlaps_timetz	unmeasured-green	321	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::control_var_samp_vs_c_var_pop	unmeasured-failed	10	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_check_float8_array_t3	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_interval_send	unmeasured-green	361	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_check_float8_array_t6	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_finals_nullity_t3	unmeasured-failed	10	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_finals_nullity_t6	unmeasured-failed	10	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_regr_r2_horizontal	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_regr_sxx	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_timetz_send	unmeasured-green	291	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_regr_sxy	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::eq_regr_syy	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::grid_covar_pop	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::grid_avg	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::grid_covar_samp	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::grid_regr_avgx	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::grid_corr	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
float-agg	proofs::grid_regr_avgy	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474912-0808-22420
datetime-b	proofs::eq_make_date_ad_band	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-b	proofs::eq_make_date_full	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-b	proofs::eq_make_timestamp_ad_band	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-b	proofs::eq_make_timestamp_bc_band	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-b	proofs::eq_make_time_secgrid	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-b	proofs::spot_make_timestamp	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-b	rem::eq_interval_time_screen	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_interval_justify_hours	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_interval_justify_interval	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_time_mi_interval	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_time_pl_interval	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_timestamp_mi	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_timetz_mi_interval	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
datetime-cmp	arith_proofs::eq_timetz_pl_interval	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474912-0808-22420
float-arith	proofs::control_dtrunc_vs_c_round	unmeasured-failed	10	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_regr_slope	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_stddev_pop	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_stddev_samp	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_var_pop	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_float4_accum_first	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_float8_accum_first	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_float8_combine_n1zero	unmeasured-green	21	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_float8_combine_n2zero	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_regr_accum_first	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_regr_combine_n1zero	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::plane_regr_combine_n2zero	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::probe_det_sqrt_model_determinism	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::probe_sqrt_self_determinism	unmeasured-failed	20	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::control_in_range_f8_vs_noreject	unmeasured-failed	10	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_dceil	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_dfloor	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_var_samp	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_dround	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_dsign	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_dtrunc	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_regr_r2	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::dsqrt_bisect_grid	unmeasured-failed	20	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::control_float8send_vs_c_float4send	unmeasured-failed	40	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_dsqrt	unmeasured-failed	40	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_in_range_float4_float8	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_distance_grid	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_float4send	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::grid_width_bucket_float8	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::spots_dsqrt	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_in_range_float8_float8	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_width_bucket_reject	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-arith	proofs::eq_float8send	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_diagonal_img	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
float-agg	proofs::grid_regr_intercept	unmeasured-green	171	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_circle_grid	unmeasured-green	160	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c6	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::control_box_add_vs_c_box_sub	unmeasured-failed	191	600	VERIFICATION:- FAILED	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c7	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c5	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_intersect_img	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c0	unmeasured-green	251	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_add_img	unmeasured-green	311	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c6	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c5	unmeasured-green	121	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c1	unmeasured-green	301	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c7	unmeasured-green	121	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell0	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c0	unmeasured-green	261	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell1	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell2	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell3	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell4	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell5	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c1	unmeasured-green	270	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_cr_circle_img	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell7	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell6	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_construct_point_img	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_cell8	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_boxes_bound_box_img	unmeasured-green	100	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_horizontal	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm1	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c2	unmeasured-green	271	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_eq_nan_plane	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm2	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm3	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_perp_arm4	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_vertical	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_perp_grid	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_pl_hplane	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_pl_vplane	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_sb	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_eq_grid	unmeasured-green	70	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c2	unmeasured-green	451	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_ps_grid	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c4	unmeasured-green	471	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_p2c3	unmeasured-green	492	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c4	unmeasured-green	371	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_sl_vplane	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_pl_dplane	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_line_construct_pp_grid	unmeasured-green	160	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_point_box_img	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_on_sl_hplane	unmeasured-green	110	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_circle_hslice	unmeasured-timeout	601	600	NO-VERDICT	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_mul_p2c3	unmeasured-green	421	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_sub_img	unmeasured-green	301	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_distance_hslice	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_points_box_img	unmeasured-green	90	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_point_mul_grid	unmeasured-green	130	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_box_div_pow2plane	unmeasured-timeout	602	600	NO-VERDICT	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_point_div_grid	unmeasured-green	181	600	VERIFICATION:- SUCCESSFUL	pgrust-kani-suite-1785474916-5cd7-22796
geo-cmp	ext2::proofs_ext2::eq_inter_sb_grid	unmeasured-rss-kill	341	600	NO-VERDICT	pgrust-kani-suite-1785474916-5cd7-22796
